I used https://www.pdf2go.com/ to convert .doc to .txt

Quantity	      Unit Cost	              Extended Cost
1,843.40            2.218135                $4,088.91
2,034.80            2.237743                $4,553.36
471.20            2.237755                $1,054.43
996.40            2.237766                $2,229.71
2,106.60            2.237743                $4,714.03
2,064.50            2.237757                $4,619.85
2,091.30            2.246569                $4,698.25
2,016.50            2.246546                $4,530.16
2,201.00            2.246025                $4,943.50
502.90            2.246033                $1,129.53
911.50            2.246023                $2,047.25
1,971.20            2.246038                $4,427.39
2,015.30            2.246048                $4,526.46
2,079.10            2.246044                $4,669.75
2,157.20            2.241443                $4,835.24

483.30            2.241527                $1,083.33

361 Transactions
Total:
719,717.60

1,539,784.82
