"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"4/25/2019 1 p.m. EDT",24888,23170,46284,8709,1981,151665,88265,86500,432270
US48,"4/25/2019 2 p.m. EDT",26480,23404,46948,8044,2465,154547,89865,86457,438969
US48,"4/25/2019 3 p.m. EDT",29412,23103,47147,8121,2719,158539,88900,86548,445391
US48,"4/25/2019 4 p.m. EDT",30839,22694,48827,8551,2156,161262,87675,86575,449593
US48,"4/25/2019 5 p.m. EDT",31625,20760,50544,8515,2181,165306,88016,86689,454885
US48,"4/25/2019 6 p.m. EDT",32610,18793,50917,8325,2096,168976,89190,86739,458850
US48,"4/25/2019 7 p.m. EDT",34787,16441,51114,7847,2171,171059,88706,86795,460181
US48,"4/25/2019 8 p.m. EDT",36055,14193,53615,8321,2060,170820,87419,86903,460818
US48,"4/25/2019 9 p.m. EDT",34347,7853,55683,8376,1895,172072,87774,86952,456155
US48,"4/25/2019 10 p.m. EDT",34107,1626,53172,8037,2017,170001,89233,86791,446285
US48,"4/25/2019 11 p.m. EDT",36330,1020,49755,7824,1751,156925,85610,86485,426374
US48,"4/26/2019 12 a.m. EDT",33248,270,47438,7751,1568,142785,80989,86082,401396
US48,"4/26/2019 1 a.m. EDT",37251,242,45107,7166,1545,126256,72726,86456,377903
US48,"4/26/2019 2 a.m. EDT",35329,234,42526,7005,1569,116530,69518,86301,359993
US48,"4/26/2019 3 a.m. EDT",34871,203,39720,7003,1428,109362,66515,86189,345944
US48,"4/26/2019 4 a.m. EDT",34231,64,37773,7019,1318,107032,64340,86326,338668
US48,"4/26/2019 5 a.m. EDT",35084,15,36617,7132,1352,107557,63479,86323,338202
US48,"4/26/2019 6 a.m. EDT",38223,12,37197,7099,1443,110881,65175,86550,347345
US48,"4/26/2019 7 a.m. EDT",40039,30,40514,7193,1571,121693,70048,86348,368208
US48,"4/26/2019 8 a.m. EDT",40665,428,42436,7254,1879,131173,75508,86312,386565
US48,"4/26/2019 9 a.m. EDT",39992,1895,46023,7500,2129,137342,79646,86317,401843
US48,"4/26/2019 10 a.m. EDT",37473,7370,49784,7930,2239,140377,83296,86330,415539
US48,"4/26/2019 11 a.m. EDT",38163,15829,49545,8069,2300,140374,83471,86361,424775
US48,"4/26/2019 12 p.m. EDT",40482,20299,47241,8107,2255,140576,82609,86333,428734
US48,"4/26/2019 1 p.m. EDT",41852,21597,44433,8190,2312,142202,83431,86460,431557
US48,"4/26/2019 2 p.m. EDT",42673,22481,44575,8112,2370,144373,83936,86453,436174
US48,"4/26/2019 3 p.m. EDT",43360,21891,45059,8045,2519,147056,84518,86498,440271
US48,"4/26/2019 4 p.m. EDT",44058,22800,44127,8065,2645,149692,84706,86682,444034
US48,"4/26/2019 5 p.m. EDT",44960,21442,44455,8015,2700,151684,84628,86800,445681
US48,"4/26/2019 6 p.m. EDT",46433,20171,45642,7939,2650,152461,83527,86871,446625
US48,"4/26/2019 7 p.m. EDT",48268,17838,46006,7982,2664,151770,82763,86905,444789
US48,"4/26/2019 8 p.m. EDT",49824,14363,46205,7840,2712,149041,82242,86985,439461
US48,"4/26/2019 9 p.m. EDT",49557,8121,47297,7343,2628,148220,81759,86984,431881
US48,"4/26/2019 10 p.m. EDT",49984,2029,47419,7153,2748,145277,82487,86099,422878
US48,"4/26/2019 11 p.m. EDT",53901,1093,46614,7090,2336,132766,79224,86013,407779
US48,"4/27/2019 12 a.m. EDT",54087,411,44966,7185,1956,119911,74791,85963,388551
US48,"4/27/2019 1 a.m. EDT",53916,401,42229,7045,1952,106943,73221,86653,371745
US48,"4/27/2019 2 a.m. EDT",53594,387,39061,7038,1946,98133,70121,86667,355376
US48,"4/27/2019 3 a.m. EDT",54140,378,35930,6837,1800,90963,66131,86693,340753
US48,"4/27/2019 4 a.m. EDT",52044,234,34561,6598,1790,88555,63843,86926,332245
US48,"4/27/2019 5 a.m. EDT",49981,184,33493,6550,1792,86421,64971,87160,327968
US48,"4/27/2019 6 a.m. EDT",51646,178,33697,6597,1808,85571,64539,87301,328854
